,batsman,batsman_runs,ball,boundaries,dismissed,dot_balls,man_of_match,match_30+,total_matches,strike_rate,%age_not_out,%age_dot_balls,%age_boundaries,%30+runs,average_suns_per_match,Strike_rate_in_powerplay,Strike_rate_in_death_overs,Player,batsman_rank,bowling_rank,allrounder_rank
38,WP Saha,1979,1541,248.0,78.0,571.0,4.0,21.0,97,128.42,19.59,37.05,16.09,21.65,20.4,133.86138613861388,156.50557620817844,WP Saha,52.0,-,-
39,MEK Hussey,1977,1648,250.0,52.0,643.0,12.0,28.0,58,119.96,10.34,39.02,15.17,48.28,34.09,104.67762326169405,186.36363636363635,MEK Hussey,38.0,-,-
40,Q de Kock,1959,1499,277.0,60.0,618.0,3.0,27.0,66,130.69,9.09,41.23,18.48,40.91,29.68,128.03837953091684,154.2857142857143,Q de Kock,23.0,-,-
41,DA Miller,1850,1374,213.0,54.0,465.0,3.0,23.0,77,134.64,29.87,33.84,15.5,29.87,24.03,89.70588235294117,181.53846153846155,DA Miller,30.0,-,-
42,DPMD Jayawardene,1802,1520,239.0,63.0,618.0,5.0,23.0,78,118.55,19.23,40.66,15.72,29.49,23.1,116.57032755298651,169.1891891891892,DPMD Jayawardene,63.0,-,-
43,JC Buttler,1714,1184,244.0,48.0,453.0,6.0,18.0,57,144.76,15.79,38.26,20.61,31.58,30.07,150.0,162.26415094339623,JC Buttler,15.0,-,-
44,MK Tiwary,1695,1489,196.0,61.0,571.0,3.0,25.0,83,113.83,26.51,38.35,13.16,30.12,20.42,96.55172413793103,148.2248520710059,MK Tiwary,79.0,-,-
45,MA Agarwal,1690,1310,228.0,78.0,523.0,2.0,20.0,83,129.01,6.02,39.92,17.4,24.1,20.36,115.49100968188104,222.38805970149252,MA Agarwal,56.0,-,-
46,KC Sangakkara,1687,1424,222.0,69.0,552.0,5.0,23.0,68,118.47,-1.47,38.76,15.59,33.82,24.81,111.53846153846155,152.68817204301075,KC Sangakkara,60.0,-,-
47,Mandeep Singh,1659,1364,207.0,78.0,524.0,3.0,18.0,90,121.63,13.33,38.42,15.18,20.0,18.43,113.95793499043978,155.98086124401914,Mandeep Singh,75.0,-,-
48,KS Williamson,1619,1222,191.0,41.0,389.0,4.0,22.0,52,132.49,21.15,31.83,15.63,42.31,31.13,106.9767441860465,163.47305389221555,KS Williamson,22.0,-,-
49,NV Ojha,1554,1360,200.0,74.0,648.0,1.0,11.0,94,114.26,21.28,47.65,14.71,11.7,16.53,98.2107355864811,136.6812227074236,NV Ojha,102.0,-,-
50,AD Russell,1517,882,234.0,50.0,357.0,11.0,23.0,61,172.0,18.03,40.48,26.53,37.7,24.87,229.99999999999997,201.5151515151515,AD Russell,18.0,132.0,14.0
51,GJ Maxwell,1505,1013,210.0,69.0,398.0,5.0,19.0,78,148.57,11.54,39.29,20.73,24.36,19.29,120.83333333333333,159.48275862068965,GJ Maxwell,43.0,184.0,43.0
52,DJ Bravo,1490,1199,177.0,65.0,479.0,3.0,15.0,101,124.27,35.64,39.95,14.76,14.85,14.75,106.03448275862068,179.66101694915255,DJ Bravo,84.0,60.0,11.0
53,KK Nair,1480,1174,199.0,63.0,465.0,3.0,20.0,66,126.06,4.55,39.61,16.95,30.3,22.42,120.0,190.8256880733945,KK Nair,53.0,-,-
54,S Badrinath,1441,1245,182.0,48.0,493.0,1.0,23.0,65,115.74,26.15,39.6,14.62,35.38,22.17,73.98373983739837,157.41626794258374,S Badrinath,71.0,-,-
